;score;puissance_homeTeam;puissance_awayTeam;win_cons_home;win_cons_away;lose_cons_home;lose_cons_away;score
653;0;3890;3781;0;2;2;0;0
654;1;2705;2956;0;1;2;0;1
655;0;2482;8832;0;0;2;1;0
656;1;2817;14695;0;1;1;0;1
657;2;6821;7311;0;1;2;0;2
658;0;3982;7151;0;2;1;0;0
659;1;14695;2482;0;0;1;0;1
660;0;7311;2512;2;0;0;1;0
661;1;7938;2705;2;1;0;0;1
662;1;3883;1880;0;1;0;0;1
663;2;2956;3890;0;0;1;0;2
664;1;4146;2817;2;1;0;0;1
665;0;3781;6821;0;0;0;3;0
666;1;8832;3982;0;0;0;0;1
667;1;7151;10390;0;3;0;0;1
668;1;5188;1553;0;0;2;3;1
760;1;6139;13105;-1;-1;-1;-1;1
761;2;4059;8949;-1;-1;-1;-1;2
762;0;9770;7427;-1;-1;-1;-1;0
763;1;2475;3861;-1;-1;-1;-1;1
764;0;5396;4803;-1;-1;-1;-1;0
765;2;100;3267;-1;-1;-1;-1;2
766;1;3663;4554;-1;-1;-1;-1;1
767;2;6273;7447;-1;-1;-1;-1;2
768;2;4257;4059;-1;-1;-1;-1;2
769;1;9329;7881;-1;-1;-1;-1;1
770;2;4803;7447;0;1;0;0;2
771;1;4554;5396;0;0;1;0;1
772;0;3267;3861;1;0;0;1;0
773;0;8949;4059;1;1;0;0;0
774;0;7881;6139;0;1;1;0;0
775;1;4059;9770;0;0;1;0;1
776;2;2475;7427;1;0;0;0;2
777;0;3663;6273;1;0;0;1;0
778;2;100;9329;0;1;1;0;2
779;1;13105;4257;0;0;1;1;1
780;0;7447;4059;2;1;0;0;0
781;1;6139;7427;0;1;0;0;1
782;0;3267;13105;0;1;0;0;0
783;1;4554;4059;1;0;0;0;1
784;0;7881;3663;0;0;0;0;0
785;1;4257;100;0;0;2;2;1
786;1;9770;2475;0;0;1;1;1
787;1;9329;3861;2;0;0;0;1
788;2;6273;4803;0;0;0;1;2
789;0;5396;8949;0;0;1;0;0
790;0;2475;6139;0;1;2;0;0
791;1;8949;4554;0;2;0;0;1
792;2;100;5396;0;0;3;0;2
793;1;7427;9329;0;3;1;0;1
794;1;13105;9770;0;1;0;0;1
795;2;3861;6273;0;0;1;1;2
796;2;3663;7447;0;0;0;0;2
797;2;4059;4803;0;1;0;0;2
798;0;4059;3267;0;0;1;0;0
799;0;4257;7881;1;0;0;0;0
800;0;3267;4257;0;0;0;0;0
801;1;5396;4059;1;0;0;0;1
802;0;4554;3861;0;0;1;2;0
803;0;9329;4059;0;0;0;1;0
804;1;4803;13105;2;0;0;0;1
805;1;7881;2475;0;0;0;0;1
806;2;6273;7427;1;1;0;0;2
807;0;9770;100;1;0;0;4;0
808;1;6139;3663;0;0;0;1;1
809;2;7447;8949;1;0;0;1;2
810;0;4059;4803;0;3;1;0;0
811;1;4257;4554;0;0;0;0;1
812;1;13105;5396;0;2;1;0;1
813;2;2475;9329;0;0;1;0;2
814;0;100;6139;0;1;0;0;0
815;0;9770;7881;0;1;0;0;0
816;1;8949;3267;1;0;0;0;1
817;1;3861;7447;0;0;0;1;1
818;0;4059;6273;0;0;0;1;0
819;1;7427;3663;2;0;0;2;1
820;1;5396;4257;0;1;1;0;1
821;2;6139;9770;0;0;0;0;2
822;2;7881;13105;0;1;0;0;2
823;1;4803;100;0;0;0;0;1
824;0;9329;8949;1;2;0;0;0
825;2;6273;4059;0;0;0;0;2
826;1;3861;4059;1;0;0;0;1
827;1;3663;2475;0;0;3;2;1
828;0;4554;3267;0;0;1;1;0
829;1;7447;7427;0;3;2;0;1
830;0;4257;3861;0;2;1;0;0
831;2;100;4554;0;0;1;0;2
832;1;8949;4803;0;1;0;0;1
833;1;9770;3663;0;1;1;0;1
834;1;3267;5396;0;1;0;0;1
835;1;2475;6273;0;0;3;1;1
836;1;4059;6139;0;0;1;1;1
837;0;4059;9329;1;1;0;0;0
838;2;7427;7881;0;0;1;1;2
839;1;13105;7447;3;1;0;0;1
840;1;4803;3267;0;1;1;0;1
841;2;3861;13105;0;4;0;0;2
842;0;9329;9770;0;1;0;0;0
843;1;7881;100;1;0;0;2;1
844;1;2475;8949;1;1;0;0;1
845;1;3663;4059;0;1;1;0;1
846;1;7427;4257;0;0;2;0;1
847;2;6273;5396;0;0;2;1;2
848;0;6139;4059;0;0;2;0;0
849;1;7447;4554;0;1;1;0;1
850;1;5396;3663;1;1;0;0;1
851;1;100;2475;0;2;3;0;1
852;1;4059;3861;0;0;0;1;1
853;1;9329;6139;1;0;0;0;1
854;2;4059;7427;0;1;1;0;2
